head,relation,tail
Chuck Hagel,Make a visit,Myanmar
Iran,Reject material cooperation,Martin Lidegaard
Sudan,Criticize or denounce,Barack Obama
Head of Government (Egypt),Express intent to cooperate,Umar al Bashir
Senate (Romania),Make an appeal or request,Victor Ponta
Iran,Make optimistic comment,China
Citizen (United Kingdom),Express intent to engage in diplomatic cooperation (such as policy support),Party Member (United Kingdom)
Iraq,Consult,Kuwait
Government (Oman),Make statement,Oman
Malaysia,Praise or endorse,Japan
Citizen (India),Appeal for change in leadership,Bureaucrat (India)
Bala Abdulkadir Mohammed,Appeal for change in leadership,Citizen (Nigeria)
"Government (Palestinian Territory, Occupied)",Demand,Hamas
Arseniy Yatsenyuk,Appeal for aid,Salil Shetty
Antonis Samaras,Demand,Citizen (Greece)
Citizen (Yemen),Consider policy option,Governor (Yemen)
Emmanuel Eweta Uduaghan,Consult,Other Authorities / Officials (Nigeria)
Rosa Pacavira,Make a visit,Ricardo Cabrisas
Armed Gang (India),fight with small arms and light weapons,Villager (India)
Citizen (India),Make an appeal or request,Shivraj Singh Chouhan
Representatives (Afghanistan),Praise or endorse,Ashraf Ghani Ahmadzai
Iran,Engage in diplomatic cooperation,Armenia
Hamas,Criticize or denounce,"Head of Government (Palestinian Territory, Occupied)"
Citizen (Venezuela),Accuse,Leopoldo López
Citizen (India),Praise or endorse,Aam Aadmi Party
Member of Parliament (India),Consult,Head of Government (India)
Foreign Affairs (Ukraine),Consult,Catherine Ashton
Sergey Viktorovich Lavrov,Make a visit,The Hague
Military Personnel (Nigeria),Consult,Media (Africa)
Member of Parliament (Libya),Make statement,Armed Gang (Libya)
Police (Croatia),Use conventional military force,Citizen (Croatia)
Iran,Engage in negotiation,Government (United States)
China,Engage in negotiation,Kazakhstan
North Korea,Threaten,Julie Bishop
Portugal,Host a visit,Vesna Pusić
China,Veto,France
Government (Nigeria),Consult,Kashim Shettima
Swaziland,Host a visit,International Monetary Fund
Kashim Shettima,Impose administrative sanctions,Citizen (Nigeria)
Head of Government (Croatia),Provide military protection or peacekeeping,Afghanistan
Nuri al-Maliki,Consult,Sergey Viktorovich Lavrov
Citizen (Sudan),Use unconventional violence,Sudan
Citizen (Thailand),Use unconventional violence,Activist (Thailand)
Labor and Employment Ministry (Bahrain),Consult,Labor Union (Bahrain)
Malaysia,"Arrest, detain, or charge with legal action",Militant (Malaysia)
Lawmaker (South Korea),Make a visit,North Korea
Milos Zeman,Praise or endorse,Joachim Gauck
Japan Self-Defense Forces,Make a visit,Mexico
Tahirul Qadri,Halt negotiations,Government (Pakistan)
Men (Japan),"Protest violently, riot",Japan
City Mayor (Philippines),Consult,Police (Philippines)
Guy Scott,Make a visit,South Africa
John Odigie-Oyegun,Accuse,Democratic Party (Nigeria)
Joseph Robinette Biden,Make statement,Guatemala
Chuck Hagel,Make a visit,North Atlantic Treaty Organization
Citizen (Venezuela),Use unconventional violence,Government (Venezuela)
Barack Obama,Praise or endorse,National Coalition for Syrian Revolutionary and Opposition Forces
Domestic Affairs (France),Make pessimistic comment,France
Iraq,Host a visit,Employee (India)
Alex Badeh,Express intent to cooperate,Citizen (Nigeria)
South Korea,Impose administrative sanctions,Citizen (South Korea)
Jonathan Greenert,Make statement,China
Other Authorities / Officials (Mali),Consult,UN Security Council
Police (Sudan),Demand,Citizen (Sudan)
Dmitry Anatolyevich Medvedev,Praise or endorse,Kazakhstan
Criminal (Brazil),Retreat or surrender militarily,Other Authorities / Officials (Brazil)
Citizen (Nigeria),Criticize or denounce,Muhammadu Buhari
China,Make pessimistic comment,Iraq
Justice Department/Ministery (Portugal),Make a visit,Angola
Prayuth Chan-ocha,Make a visit,Military (Thailand)
Ministry (Iran),Consult,Member of Parliament (Iran)
Catherine Ashton,Make a visit,Serbia
Frank Bainimarama,Meet at a 'third' location,Kamalesh Sharma
Muhammadu Buhari,Appeal for diplomatic cooperation (such as policy support),Head of Government (Nigeria)
Company - Owner or Operator (Nigeria),Make pessimistic comment,Government (Nigeria)
Philippines,Investigate,Qatar
Head of Government (Pakistan),Make an appeal or request,Mamnoon Hussain
Foreign Affairs (United States),Consult,China
Julio Cobos,Express intent to meet or negotiate,Lawmaker (Argentina)
Police (Philippines),"Abduct, hijack, or take hostage",Men (Philippines)
Citizen (India),Express intent to meet or negotiate,Medical Personnel (India)
Protester (Hong Kong),"Defy norms, law",Other Authorities / Officials (Hong Kong)
Citizen (Nigeria),Criticize or denounce,Indigenous People (Nigeria)
Jusuf Kalla,Praise or endorse,Cabinet / Council of Ministers / Advisors (Indonesia)
Head of Government (India),Host a visit,Royal Administration (Saudi Arabia)
Government (Pakistan),Consult,Political Parties (Pakistan)
Angola,Consult,Portugal
Indigenous People (Nigeria),Express intent to accept mediation,Government (Nigeria)
Other Authorities / Officials (Venezuela),"Return, release person(s)",Leopoldo López
Carrie Lam,Express intent to meet or negotiate,Student (Hong Kong)
Party Member (Canada),Express intent to meet or negotiate,Canada
Philippines,Demonstrate military or police power,Vietnam
Citizen (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Muhammadu Buhari
China,Host a visit,Ma Ying Jeou
Citizen (Nigeria),Express intent to cooperate,Medical Personnel (Nigeria)
Sudan,Yield,Military (Chad)
Al-Shabaab,Threaten with military force,Media Personnel (Somalia)
Citizen (Nigeria),Accuse,Umaru Tanko Al-Makura
Domestic Affairs (Yemen),Accuse,Citizen (Yemen)
United Arab Emirates,Consult,Julie Bishop
Canada,Engage in negotiation,France
Mohammad Javad Zarif,Engage in negotiation,Sebastian Kurz
Ibrahim Boubacar Keïta,Express intent to meet or negotiate,Mauritania
Member of the Judiciary (Nigeria),Ease administrative sanctions,Citizen (Nigeria)
Xi Jinping,Make an appeal or request,Sergey Viktorovich Lavrov
Defense / Security Ministry (South Sudan),Make a visit,Sudan
Umar al Bashir,Engage in negotiation,Head of Government (Egypt)
Federica Mogherini,Meet at a 'third' location,Abdel Fattah Al-Sisi
Protester (Ukraine),Consult,Yulia Tymoshenko
Men (New Zealand),Physically assault,Police (New Zealand)
Criminal (Philippines),Use unconventional violence,City Mayor (Philippines)
Jitan Ram Manjhi,Demand,Citizen (India)
Macky Sall,Make a visit,United Arab Emirates
Myanmar,Praise or endorse,Thailand
Serbia,Sign formal agreement,International Monetary Fund
Citizen (Saudi Arabia),Make an appeal or request,Mohammad Javad Zarif
Rajya Sabha,Accuse,Citizen (India)
Citizen (Indonesia),Make optimistic comment,Police (Indonesia)
Ministry (South Africa),Make a visit,Angola
Nuri al-Maliki,Praise or endorse,Sergey Viktorovich Lavrov
Kazakhstan,Make statement,Iran
Vietnam,Host a visit,Naval (Brunei)
Mohammad Javad Zarif,Express intent to meet or negotiate,Undersecretary (United States)
François Hollande,Consult,Jean-Michel Baylet
Ashraf Ghani Ahmadzai,Consult,Military Personnel (Afghanistan)
Oleg Ostapenko,Make a visit,China
Labor Union (Nigeria),Make an appeal or request,Other Authorities / Officials (Nigeria)
France,Host a visit,China
Middle East,Make statement,Massoud Barzani
Kim Jong-Un,Make statement,South Korea
Ministry (Croatia),Praise or endorse,Labor Union (Croatia)
Morocco,Make pessimistic comment,Middle East
Japan,Deny responsibility,Xi Jinping
New Zealand,Consult,China
Congress (United States),Make a visit,China
Foreign Affairs (Latvia),Make a visit,New Zealand
North Atlantic Treaty Organization,Meet at a 'third' location,Chuck Hagel
Military Personnel (India),fight with small arms and light weapons,Citizen (India)
Tajikistan,Meet at a 'third' location,Iran
Other Authorities / Officials (China),Make an appeal or request,Vietnam
Congress (United States),Praise or endorse,Head of Government (Ukraine)
Newspaper (South Africa),Make statement,Police (South Africa)
Citizen (Kenya),Make an appeal or request,Media (Africa)
Winston Peters,Conduct strike or boycott,New Zealand
Senate (Romania),Express intent to meet or negotiate,Legislature (Romania)
Bahrain,Praise or endorse,Iran
Federica Mogherini,Meet at a 'third' location,Mohammad Javad Zarif
African Union,Make a visit,Malawi Electoral Commission
William Kabogo,Host a visit,Japan
Criminal (Philippines),Engage in negotiation,Police (Philippines)
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Romania
Labor Party (United Kingdom),Make an appeal or request,Businessperson (United Kingdom)
China,Host a visit,Saud bin Faisal bin Abdul-Aziz
Head of Government (Sri Lanka),Make statement,Mahinda Rajapaksa
United Arab Emirates,Consult,Mohammad Javad Zarif
Justice Department/Ministery (Switzerland),Discuss by telephone,Simonetta Sommaruga
Citizen (Kenya),Accuse,Alfred Mutua
European Parliament,Host a visit,Pope Francis
Military (Lebanon),Investigate,Armed Gang (Lebanon)
Interfax,Make an appeal or request,Foreign Affairs (Russia)
Guatemala,Host a visit,Joseph Robinette Biden
Philippines,Impose administrative sanctions,City Mayor (Philippines)
Yoshitaka Shindo,Make a visit,Philippines
Foreign Affairs (Russia),Make an appeal or request,John Kerry
Domestic Affairs (Chile),Host a visit,Alberto Espina
Business (Bahrain),Sign formal agreement,Labor Union (Bahrain)
Legislature (Iraq),Express intent to cooperate,Iraq
Thailand,Retreat or surrender militarily,Cambodia
Sergey Viktorovich Lavrov,Discuss by telephone,Saud bin Faisal bin Abdul-Aziz
Al-Shabaab,Make statement,Military Personnel (Somalia)
Uhuru Muigai Kenyatta,Express intent to meet or negotiate,The Hague
Tanzania,Express intent to engage in diplomatic cooperation (such as policy support),Angola
Fumio Kishida,Express intent to meet or negotiate,Sergey Viktorovich Lavrov
Romania,Host a visit,Jonathan Greenert
Indigenous People (Thailand),Praise or endorse,Gen Tanasak Patimapragorn
Umar al Bashir,Consult,Head of Government (Egypt)
Citizen (India),Reduce relations,Employee (India)
Social Democratic Party (Estonia),Express intent to meet or negotiate,Reform Party (Estonia)
Iraq,"Arrest, detain, or charge with legal action",Children (Iraq)
Sudan,Host a visit,Riek Machar
Kathleen Wynne,Make a visit,Business (Canada)
Government (Nigeria),Threaten,Government (South Africa)
Presidential Candidate (Afghanistan),Accuse,Government Official (Afghanistan)
Court Judge (Kenya),Demand,Lawyer/Attorney (Kenya)
Thailand,Provide humanitarian aid,China
Police (Ukraine),Consult,Verkhovna Rada
Simon Gass,Consult,Foreign Affairs (Russia)
Foreign Affairs (India),Make a visit,Sayed Fazlollah Wahidi
City Mayor (Venezuela),Consult,Miguel Ángel Rodríguez
Citizen (India),Criticize or denounce,Villager (India)
Joachim Gauck,Express intent to meet or negotiate,Milos Zeman
Reserve Personnel (Japan),"Arrest, detain, or charge with legal action",Men (Japan)
Uhuru,Make an appeal or request,Court Judge (Kenya)
Hezbollah,Engage in negotiation,Iranian Parliament
Protester (Ethiopia),Demonstrate or rally,Police (Ethiopia)
Armenia,Host a visit,Gurbanguly Berdymukhammedov
Democratic Party (Benin),Express intent to cooperate,Citizen (Benin)
Hemant Soren,Criticize or denounce,Citizen (India)
Lawyer/Attorney (Philippines),Accuse,City Mayor (Philippines)
Citizen (Australia),Criticize or denounce,People Associated with the Opposition (Australia)
Joseph Robinette Biden,Make an appeal or request,Massoud Barzani
Shivshankar Menon,Consult,Mohammad Javad Zarif
Head of Government (China),Express intent to meet or negotiate,Ethiopia
Hezbollah,Consult,Iran
John Kerry,Express intent to engage in diplomatic cooperation (such as policy support),Sergey Viktorovich Lavrov
Fessehaye Yohannes,Make an appeal or request,Citizen (Nigeria)
Benjamin Netanyahu,Express intent to meet or negotiate,Reuven Rivlin
Special Rapporteurs of the United Nations,Praise or endorse,Mauritania
France,Engage in negotiation,Joseph Kabila
Salvador Sánchez Cerén,Consult,Joseph Robinette Biden
Religion (India),Accuse,Indigenous People (India)
Government (Nigeria),Engage in diplomatic cooperation,Health Ministry (Nigeria)
Iraq,Express intent to cooperate,Aero Vodochody
High Commission for Refugees,Criticize or denounce,Other Authorities / Officials (Lebanon)
Children (Israel),Physically assault,Israeli Defense Forces
Julia Gillard,Accuse,Kevin Rudd
Benjamin Netanyahu,Yield,Hamas
Criminal (Philippines),Make statement,Philippines
Barack Obama,Reduce or break diplomatic relations,Citizen (International)
Jaroslaw Kaczynski,Make statement,Poland
Ilkka Kanerva,Consult,Sergey Viktorovich Lavrov
Chang Wanquan,Engage in negotiation,Djibouti
Vasundhara Raje,Make empathetic comment,Citizen (India)
Citizen (South Korea),Express intent to cooperate,Grand National Party
Ashraf Ghani Ahmadzai,Express intent to meet or negotiate,North Atlantic Treaty Organization
Canada,Host a visit,Tahirul Qadri
Military Personnel - Special (Afghanistan),Investigate,Afghanistan
Foreign Affairs (Portugal),Make a visit,Angola
Fumio Kishida,Consult,Sergey Viktorovich Lavrov
Jyrki Katainen,Reduce relations,National Coalition Party
Nabih Berri,"Impose embargo, boycott, or sanctions",Legislature (Lebanon)
Interim Government (Thailand),Impose state of emergency or martial law,Thailand
Police (Bosnia and Herzegovina),Use conventional military force,Protester (Bosnia and Herzegovina)
Police (Kenya),"Arrest, detain, or charge with legal action",Alfred Mutua
Citizen (Australia),Bring lawsuit against,Police (Australia)
Citizen (Nigeria),Engage in symbolic act,Bala Abdulkadir Mohammed
Mohammad Javad Zarif,Demand diplomatic cooperation (such as policy support),Iran
Police (Bosnia and Herzegovina),Use tactics of violent repression,Protester (Bosnia and Herzegovina)
Lawmaker (Lebanon),"Threaten with political dissent, protest",Legislature (Lebanon)
Kim Jong-Un,Praise or endorse,Xi Jinping
Poland,Host a visit,John Kerry
Cabinet / Council of Ministers / Advisors (Jordan),Consult,Ministry (Jordan)
Alexander Stubb,Consult,Taavi Rõivas
Police (Kyrgyzstan),"Return, release person(s)",Criminal (Kyrgyzstan)
Ministry (Tanzania),Demand,Police (Tanzania)
Japan,Express intent to engage in diplomatic cooperation (such as policy support),Prayuth Chan-ocha
Member of the Judiciary (Nigeria),Make an appeal or request,Government (Nigeria)
Citizen (Indonesia),Make an appeal or request,Business (Indonesia)
Other Authorities / Officials (Nigeria),Deny responsibility,Frank Mba
Foreign Affairs (Russia),Consult,Seyran Ohanyan
Head of Government (Nigeria),Criticize or denounce,Boko Haram
William Ruto,Engage in negotiation,Businessperson (Kenya)
Amnesty International,Make statement,Morocco
Xi Jinping,Criticize or denounce,China
Victor Ponta,Make an appeal or request,Representatives (Romania)
Canada,Make statement,Canadian Armed Forces
Media Personnel (China),Make statement,Other Authorities / Officials (China)
Japan,Engage in diplomatic cooperation,Myanmar
South Korea,Criticize or denounce,Military Personnel (South Korea)
Association of Southeast Asian Nations,Engage in diplomatic cooperation,Japan
Governor (Chile),Express intent to cooperate,Juan del Granado
African Union,Make statement,South Sudan
